Demographic,0-1 hour,,2-3 hours,,4-5 hours,,6-7 hours,,8-9 hours,,hours,Total N,
2016 Vote: Other,12%,(7),13%,(8),31%,(20),15%,(9),16%,(10),12%,(8),62
2016 Vote: Didn’t Vote,10%,(24),17%,(43),29%,(72),21%,(53),9%,(23),13%,(33),247
Voted in 2014: Yes,12%,(66),19%,(107),28%,(155),20%,(110),12%,(67),10%,(57),562
Voted in 2014: No,11%,(38),18%,(62),29%,(99),20%,(68),9%,(30),12%,(40),337
2012 Vote: Barack Obama,10%,(33),20%,(65),26%,(86),21%,(69),12%,(41),11%,(37),332
2012 Vote: Mitt Romney,14%,(34),20%,(48),28%,(67),18%,(43),10%,(24),11%,(26),241
2012 Vote: Didn’t Vote,11%,(31),18%,(50),29%,(80),21%,(58),9%,(25),12%,(34),278
4-Region: Northeast,11%,(20),22%,(39),30%,(54),17%,(30),14%,(24),7%,(12),178
4-Region: Midwest,13%,(25),20%,(37),25%,(47),19%,(35),10%,(19),12%,(22),184
4-Region: South,11%,(38),21%,(71),28%,(95),18%,(61),11%,(37),11%,(38),341
4-Region: West,11%,(21),11%,(22),30%,(58),27%,(52),8%,(16),13%,(25),195
Parent of a kid Younger than 5 years old,14%,(25),28%,(51),25%,(45),18%,(32),6%,(11),8%,(14),179
Parent of a kid 5 to 12 years old,6%,(19),17%,(47),33%,(94),22%,(63),12%,(34),10%,(30),287
Parent of a kid 13 to 17 years old,3%,(8),15%,(38),28%,(71),23%,(57),16%,(39),14%,(36),250
Parent of a kid 18 or older,17%,(63),20%,(77),24%,(91),18%,(67),11%,(41),11%,(42),380
Parent of a kid under 18,8%,(43),18%,(101),31%,(169),21%,(118),11%,(60),11%,(60),551
Kids have access to any device,12%,(104),19%,(169),28%,(254),20%,(178),11%,(96),11%,(97),899
Kids have access to their own device,10%,(78),17%,(133),27%,(210),21%,(159),12%,(92),12%,(93),765
Kids spending more time with screens,—,(0),9%,(41),33%,(157),33%,(156),15%,(70),11%,(51),476
